UserNickname,Rating,ReviewText,ContextDataValues/skinType/Value,ContextDataValues/skinType/Id,ContextDataValues/skinType/ValueLabel,ContextDataValues/skinType/DimensionLabel,ContextDataValues/eyeColor/Value,ContextDataValues/eyeColor/Id,ContextDataValues/eyeColor/ValueLabel,ContextDataValues/eyeColor/DimensionLabel,ContextDataValues/StaffContext/Value,ContextDataValues/StaffContext/Id,ContextDataValues/StaffContext/ValueLabel,ContextDataValues/StaffContext/DimensionLabel,ContextDataValues/hairColor/Value,ContextDataValues/hairColor/Id,ContextDataValues/hairColor/ValueLabel,ContextDataValues/hairColor/DimensionLabel,ContextDataValues/skinTone/Value,ContextDataValues/skinTone/Id,ContextDataValues/skinTone/ValueLabel,ContextDataValues/skinTone/DimensionLabel,ContextDataValues/IncentivizedReview/Value,ContextDataValues/IncentivizedReview/Id,ContextDataValues/IncentivizedReview/ValueLabel,ContextDataValues/IncentivizedReview/DimensionLabel,ProductId,UserEmailAddress,Photos/0/Sizes/normal/Id,Photos/0/Sizes/normal/Url,Photos/0/Sizes/thumbnail/Id,Photos/0/Sizes/thumbnail/Url,Photos/0/Id,Photos/0/SizesOrder/0,Photos/0/SizesOrder/1,Photos/0/Caption,TotalNegativeFeedbackCount,RatingRange,CampaignId,UserLocation,TotalCommentCount,ContextDataValuesOrder/0,ContextDataValuesOrder/1,ContextDataValuesOrder/2,ContextDataValuesOrder/3,ContextDataValuesOrder/4,ContextDataValuesOrder/5,TotalPositiveFeedbackCount,IsRatingsOnly,LastModificationTime,Pros,AuthorId,Helpfulness,SubmissionTime,AdditionalFields/sociallockup/Label,AdditionalFields/sociallockup/Value,AdditionalFields/sociallockup/Id,Title,AdditionalFieldsOrder/0,TotalFeedbackCount,ModerationStatus,IsFeatured,Cons,SubmissionId,IsSyndicated,IsRecommended,LastModeratedTime,Id,ContentLocale,ContextDataValues/age/Value,ContextDataValues/age/Id,ContextDataValues/age/ValueLabel,ContextDataValues/age/DimensionLabel,ContextDataValuesOrder/6,ContextDataValues/VerifiedPurchaser/Value,ContextDataValues/VerifiedPurchaser/Id,ContextDataValues/VerifiedPurchaser/ValueLabel,ContextDataValues/VerifiedPurchaser/DimensionLabel,ContextDataValuesOrder/7,BadgesOrder/0,Badges/VerifiedPurchaser/ContentType,Badges/VerifiedPurchaser/Id,Badges/VerifiedPurchaser/BadgeType,Badges/IncentivizedReviewBadge/ContentType,Badges/IncentivizedReviewBadge/Id,Badges/IncentivizedReviewBadge/BadgeType,Photos/1/Sizes/normal/Id,Photos/1/Sizes/normal/Url,Photos/1/Sizes/thumbnail/Id,Photos/1/Sizes/thumbnail/Url,Photos/1/Id,Photos/1/SizesOrder/0,Photos/1/SizesOrder/1,Photos/1/Caption,ContextDataValues/beautyInsider/Value,ContextDataValues/beautyInsider/Id,ContextDataValues/beautyInsider/ValueLabel,ContextDataValues/beautyInsider/DimensionLabel,TagDimensionsOrder/0,TagDimensions/Pro/Label,TagDimensions/Pro/Values/0,TagDimensions/Pro/Values/1,TagDimensions/Pro/Values/2,TagDimensions/Pro/Id,Badges/yesvib/ContentType,Badges/yesvib/Id,Badges/yesvib/BadgeType,Badges/beautyInsider/ContentType,Badges/beautyInsider/Id,Badges/beautyInsider/BadgeType,TagDimensions/Pro/Values/3,TagDimensions/Pro/Values/4,Badges/yesvibr/ContentType,Badges/yesvibr/Id,Badges/yesvibr/BadgeType,BadgesOrder/1,BadgesOrder/2,Badges/Staff/ContentType,Badges/Staff/Id,Badges/Staff/BadgeType,Badges/StaffContextBadge/ContentType,Badges/StaffContextBadge/Id,Badges/StaffContextBadge/BadgeType,TagDimensions/Pro/Values/5,Videos/0/VideoId,Videos/0/VideoHost,Videos/0/VideoThumbnailUrl,Videos/0/VideoIframeUrl,Videos/0/Caption,Videos/0/VideoUrl,TagDimensions/Pro/Values/6,TagDimensions/Pro/Values/7,TagDimensions/Pro/Values/8,TagDimensions/Pro/Values/9,TagDimensions/Pro/Values/10,TagDimensions/Pro/Values/11,TagDimensions/Pro/Values/12,Badges/top50Contributor/ContentType,Badges/top50Contributor/Id,Badges/top50Contributor/BadgeType,Badges/top10Contributor/ContentType,Badges/top10Contributor/Id,Badges/top10Contributor/BadgeType,Badges/top1Contributor/ContentType,Badges/top1Contributor/Id,Badges/top1Contributor/BadgeType,Badges/top25Contributor/ContentType,Badges/top25Contributor/Id,Badges/top25Contributor/BadgeType
hmknudsen,2,"You’re most likely buying this because it’s cute/ trendy (thanks, tik tok). However, the color payoff isn’t great. It’s not buildable on the cheeks and only provides a light “wash” of color. It reminds me of water paints. When applied to the lips, you best follow with aquaphor because it’s pretty drying.",dry,skinType,Dry,Skin Type,green,eyeColor,Green,Eye Color,FALSE,StaffContext,No,I am a Sephora employee,blonde,hairColor,Blonde,Hair color,light,skinTone,Light,Skin Tone,FALSE,IncentivizedReview,FALSE,I received this product as a free sample,P1272,,normal,https://photos-eu.bazaarvoice.com/photo/2/cGhvdG86c2VwaG9yYQ/6c046164-5681-55bc-b1c8-913973fa4f89,thumbnail,https://photos-eu.bazaarvoice.com/photo/2/cGhvdG86c2VwaG9yYQ/df475a4d-1913-5bf0-bdf4-6f2693ddea86,17539147,thumbnail,normal,DummyPhotoCaption,0,5,,,0,eyeColor,hairColor,skinTone,skinType,IncentivizedReview,StaffContext,1,FALSE,2022-06-18T04:43:15.000+00:00,,8472387382,1,2022-06-16T06:26:58.000+00:00,sociallockup,avatar=https://community.sephora.com/t5/image/serverpage/avatar-name/default-avatar/avatar-theme/sephora/avatar-collection/sephora/avatar-display-size/profile/version/2?xdesc=1.0|biBadgeUrl=/html/rank_icons/birole_rouge.png|engagementBadgeUrl=/html/rank_icons/rank_rookie-01.png|biTier=rouge,sociallockup,watercolor not worth it,sociallockup,1,APPROVED,FALSE,,r18723api-_165536083jzxc2y5KC,FALSE,FALSE,2022-06-17T03:15:29.000+00:00,211040423,en_US,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
michela331,5,amazing for the no makeup makeup days. Great to use on a daily basis.,combination,skinType,Combination,Skin Type,brown,eyeColor,Brown,Eye Color,FALSE,StaffContext,No,I am a Sephora employee,brunette,hairColor,Brunette,Hair color,medium,skinTone,Medium,Skin Tone,FALSE,IncentivizedReview,FALSE,I received this product as a free sample,P1272,,,,,,,,,,0,5,,,0,eyeColor,hairColor,skinTone,skinType,IncentivizedReview,StaffContext,1,FALSE,2022-06-13T08:25:53.000+00:00,,24488126257,1,2022-06-09T19:58:30.000+00:00,sociallockup,avatar=https://community.sephora.com/t5/image/serverpage/avatar-name/default-avatar/avatar-theme/sephora/avatar-collection/sephora/avatar-display-size/profile/version/2?xdesc=1.0|biBadgeUrl=/html/rank_icons/birole_vib.png|engagementBadgeUrl=/html/rank_icons/rank_rookie-01.png|biTier=vib,sociallockup,Amazing,sociallockup,1,APPROVED,FALSE,,r18723api-_16548047qQuTUm5kgB,FALSE,TRUE,2022-06-09T20:30:53.000+00:00,210665669,en_CA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kshama93,4,Absolutely love this product. I have been buying it so many times now. It has a nice finish which makes it look natural and beautiful.,combination,skinType,Combination,Skin Type,brown,eyeColor,Brown,Eye Color,FALSE,StaffContext,No,I am a Sephora employee,brunette,hairColor,Brunette,Hair color,light,skinTone,Light,Skin Tone,FALSE,IncentivizedReview,FALSE,I received this product as a free sample,P1272,,,,,,,,,,0,5,,,0,eyeColor,hairColor,skinTone,skinType,age,IncentivizedReview,0,FALSE,2022-06-01T21:00:43.000+00:00,,11264775480,,2022-06-01T20:40:20.000+00:00,sociallockup,avatar = https://community.sephora.com/t5/image/serverpage/image-id/1714242i5861D1D7B5C3DC7C/image-dimensions/172x172?v=v2|biBadgeUrl = /html/rank_icons/birole_rouge.png|engagementBadgeUrl = /html/rank_icons/rank_rookie-01.png|biTier = bi,sociallockup,,sociallockup,0,APPROVED,FALSE,,r18723api-_16541160kraRfeZbQ3,FALSE,TRUE,2022-06-01T21:00:43.000+00:00,210165900,en_CA,over54,age,over 54,Age,StaffContext,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vbeltran90,5,Love love love! Perfect for an gorgeous day/night look. Versatile! I use it for my lips/ cheeks/ and as a shadow ❤️❤️❤️,normal,skinType,Normal,Skin Type,brown,eyeColor,Brown,Eye Color,FALSE,StaffContext,No,I am a Sephora employee,brunette,hairColor,Brunette,Hair color,medium,skinTone,Medium,Skin Tone,FALSE,IncentivizedReview,FALSE,I received this product as a free sample,P1272,,normal,https://photos-eu.bazaarvoice.com/photo/2/cGhvdG86c2VwaG9yYQ/e51bd475-bb29-5282-9422-ebd8b970911e,thumbnail,https://photos-eu.bazaarvoice.com/photo/2/cGhvdG86c2VwaG9yYQ/1b545282-fed4-5f78-9b7d-f439070bb8b2,17212441,thumbnail,normal,,0,5,,,0,eyeColor,hairColor,skinTone,skinType,age,IncentivizedReview,0,FALSE,2022-06-01T15:15:51.000+00:00,,5391130583,,2022-06-01T05:05:51.000+00:00,sociallockup,avatar=https://community.sephora.com/t5/image/serverpage/avatar-name/default-avatar/avatar-theme/sephora/avatar-collection/sephora/avatar-display-size/profile/version/2?xdesc=1.0|biBadgeUrl=/html/rank_icons/birole_insider.svg|engagementBadgeUrl=/html/rank_icons/rank_rookie-01.svg|biTier=BI,sociallockup,,sociallockup,0,APPROVED,FALSE,,r18723api-_16540599dTXMfuwu2O,FALSE,TRUE,2022-06-01T15:15:51.000+00:00,210133338,en_US,18to24,age,18-24,Age,StaffContext,FALSE,VerifiedPurchaser,No,Verified Purchaser,VerifiedPurchaser,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mkombat,4,"I have super pale lips and this is great for a natural, buildable lip stain. It's a bit drying but the color stays when I put chapstick over it which is awesome. Worked fine for me as a natural-looking blush too. 

The formula is VERY watery. The first time I applied on my lips I put too much on and it actually got on my teeth and stained them until I brushed them (came right off with a good toothbrushing). So be careful if you're out otherwise you will look like you just drank a bottle of red wine - not cute. Better to slowly and carefully build color with a smaller amount of product.",combination,skinType,Combination,Skin Type,brown,eyeColor,Brown,Eye Color,FALSE,StaffContext,No,I am a Sephora employee,brunette,hairColor,Brunette,Hair color,fair,skinTone,Fair,Skin Tone,FALSE,IncentivizedReview,FALSE,I received this product as a free sample,P1272,,,,,,,,,,0,5,,,0,eyeColor,hairColor,skinTone,skinType,IncentivizedReview,StaffContext,5,FALSE,2022-06-13T08:26:09.000+00:00,,22610702247,1,2022-05-24T23:01:50.000+00:00,sociallockup,avatar=https://community.sephora.com/t5/image/serverpage/avatar-name/default-avatar/avatar-theme/sephora/avatar-collection/sephora/avatar-display-size/profile/version/2?xdesc=1.0|biBadgeUrl=/html/rank_icons/birole_insider.svg|engagementBadgeUrl=/html/rank_icons/rank_rookie-01.svg|biTier=VIB,sociallockup,,sociallockup,5,APPROVED,FALSE,,r18723api-_16534333xFh623HgZm,FALSE,TRUE,2022-05-25T01:45:36.000+00:00,209546357,en_US,,,,,VerifiedPurchaser,TRUE,VerifiedPurchaser,Yes,Verified Purchaser,,VerifiedPurchaser,REVIEW,VerifiedPurchaser,Custom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
marletd,5,"I love this product, my lips look fuller and natural. This product is long lasting and can be use on cheeks or lips. I totally recommend it.",combination,skinType,Combination,Skin Type,brown,eyeColor,Brown,Eye Color,FALSE,StaffContext,No,I am a Sephora employee,brunette,hairColor,Brunette,Hair color,medium,skinTone,Medium,Skin Tone,TRUE,IncentivizedReview,TRUE,I received this product as a free sample,P1272,,normal,https://photos-eu.bazaarvoice.com/photo/2/cGhvdG86c2VwaG9yYQ/917572d5-4164-587c-8ba1-3148c4aa2bf6,thumbnail,https://photos-eu.bazaarvoice.com/photo/2/cGhvdG86c2VwaG9yYQ/807b23c7-aa74-52c4-a757-bd1485fc9ec0,17137901,thumbnail,normal,,0,5,,,0,eyeColor,hairColor,skinTone,skinType,IncentivizedReview,StaffContext,1,FALSE,2022-05-26T20:01:54.000+00:00,,23574995303,1,2022-05-23T07:24:37.000+00:00,sociallockup,avatar=https://community.sephora.com/t5/image/serverpage/avatar-name/default-avatar/avatar-theme/sephora/avatar-collection/sephora/avatar-display-size/profile/version/2?xdesc=1.0|biBadgeUrl=/html/rank_icons/birole_insider.svg|engagementBadgeUrl=/html/rank_icons/rank_rookie-01.svg|biTier=BI,sociallockup,Long lasting lips and cheeks tint,sociallockup,1,APPROVED,FALSE,,r18723api-_165329067tiy0ZHPkz,FALSE,TRUE,2022-05-23T15:01:21.000+00:00,209447721,en_US,,,,,VerifiedPurchaser,FALSE,VerifiedPurchaser,No,Verified Purchaser,,IncentivizedReviewBadge,,,,REVIEW,IncentivizedReviewBadge,Custom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meibaby888,5,"Love all their tints, you can get a subtle natural look or add more pigment depending on the look you want. Easy to blend and use. Very long lasting on the lip and cheek. Gorgeous also love the other tints too",combination,skinType,Combination,Skin Type,brown,eyeColor,Brown,Eye Color,FALSE,StaffContext,No,I am a Sephora employee,brunette,hairColor,Brunette,Hair color,medium,skinTone,Medium,Skin Tone,FALSE,IncentivizedReview,FALSE,I received this product as a free sample,P1272,,,,,,,,,,1,5,,,0,eyeColor,hairColor,skinTone,skinType,IncentivizedReview,StaffContext,0,FALSE,2022-06-04T11:18:13.000+00:00,,1735365101,0,2022-05-20T12:39:08.000+00:00,sociallockup,avatar=https://community.sephora.com/t5/image/serverpage/image-id/1947946iC2A79E26D708B749/image-dimensions/172x172?v=v2|biBadgeUrl=/html/rank_icons/birole_rouge.png|engagementBadgeUrl=/html/rank_icons/rank_rookie-01.png|biTier=vib,sociallockup,Gorgeous tint,sociallockup,1,APPROVED,FALSE,,r18723api-_16530503KeL8RJXUcj,FALSE,TRUE,2022-05-20T13:00:32.000+00:00,209309331,en_US,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kfromok,5,Benetint is the easiest way to get a quick flush! You can easily blend it in with your fingers and you can also use it on your lips! We love a multi use product!,combination,skinType,Combination,Skin Type,brown,eyeColor,Brown,Eye Color,FALSE,StaffContext,No,I am a Sephora employee,black,hairColor,Black,Hair color,medium,skinTone,Medium,Skin Tone,TRUE,IncentivizedReview,TRUE,I received this product as a free sample,P1272,,,,,,,,,,0,5,,,0,eyeColor,hairColor,skinTone,skinType,IncentivizedReview,StaffContext,0,FALSE,2022-05-18T19:15:33.000+00:00,,7389682171,,2022-05-18T18:50:58.000+00:00,sociallockup,avatar=https://community.sephora.com/t5/image/serverpage/image-id/1658108iF51BE573C64B4134/image-dimensions/172x172?v=v2|biBadgeUrl=/html/rank_icons/birole_insider.svg|engagementBadgeUrl=/html/rank_icons/rank_rookie-01.svg|biTier=BI,sociallockup,Gorgeous gorgeous girls love benetint!,sociallockup,0,APPROVED,FALSE,,r18723api-_16528998DPzXCcIVIO,FALSE,TRUE,2022-05-18T19:15:33.000+00:00,209217563,en_US,,,,,VerifiedPurchaser,FALSE,VerifiedPurchaser,No,Verified Purchaser,,IncentivizedReviewBadge,,,,REVIEW,IncentivizedReviewBadge,Custom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fabbeautyboss27,5,"A blush but better! 
My first time using a blush tint and my first impression I’m super impressed and loving them. 

Easy to use applicator, great size doe foot for precise application, great lightweight formula that blends seamlessly into the skin giving me a pretty flush of color to my cheeks and love how natural it looks. I love that it’s sheer but you can build it up to your liking. 
A little truly goes a long way! 

I tried all 3 shades Rosy, Pink-lemonade and Fiery-red tint and my favorite is Pink-lemonade. I’ve attached swatches of all 3 shades below so you can see how they look on me. 

It’s the perfect shade for my medium brown skin and suits me well. It looks as if I’m blushing naturally whenever I wear this blush, which i find super cute. I also like to apply it on my lips giving me the perfect subtle pink shade without drying my lips, almost mimics my lip natural lip color but better.  I apply two small dots and then dab with my fingers. It blends super quick and easy which is great for mums like me that are always on the go and need a quick makeup. Also didn’t have to worry about it rubbing off throughout the day as it’s long-wearing and does not smudge 

A great addition to my everyday makeup look. Highly recommend them!",combination,skinType,Combination,Skin Type,brown,eyeColor,Brown,Eye Color,FALSE,StaffContext,No,I am a Sephora employee,brunette,hairColor,Brunette,Hair color,deep,skinTone,Deep,Skin Tone,TRUE,IncentivizedReview,TRUE,I received this product as a free sample,P1272,,normal,https://photos-eu.bazaarvoice.com/photo/2/cGhvdG86c2VwaG9yYQ/8057fdb0-b37c-51e5-bca0-a9effef7e417,thumbnail,https://photos-eu.bazaarvoice.com/photo/2/cGhvdG86c2VwaG9yYQ/568fbba3-5c21-5451-825f-18735adfba4b,17085706,thumbnail,normal,DummyPhotoCaption,0,5,,,0,eyeColor,hairColor,skinTone,skinType,IncentivizedReview,StaffContext,3,FALSE,2022-05-27T01:29:49.000+00:00,,26331286512,1,2022-05-16T23:16:50.000+00:00,sociallockup,avatar=https://community.sephora.com/t5/image/serverpage/avatar-name/default-avatar/avatar-theme/sephora/avatar-collection/sephora/avatar-display-size/profile/version/2?xdesc=1.0|biBadgeUrl=/html/rank_icons/birole_rouge.png|engagementBadgeUrl=/html/rank_icons/rank_rookie-01.png|biTier=rouge,sociallockup,THIS WILL HAVE YOU BLUSHING,sociallockup,3,APPROVED,FALSE,,r18723api-_16527430G934vHda4P,FALSE,TRUE,2022-05-17T00:15:34.000+00:00,209109145,en_US,,,,,,,,,,,IncentivizedReviewBadge,,,,REVIEW,IncentivizedReviewBadge,Custom,normal,https://photos-eu.bazaarvoice.com/photo/2/cGhvdG86c2VwaG9yYQ/9d116c21-2bda-597d-9ef5-589739aa1fd0,thumbnail,https://photos-eu.bazaarvoice.com/photo/2/cGhvdG86c2VwaG9yYQ/cb7233a0-f223-5138-860d-15e050cf561f,17085707,thumbnail,normal,DummyPhotoCaption,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dirtydianalunar,5,MY GO TO!!! Honestly been loving this product! I use it all the time for my natural glams! It looks like I did my entire makeup with just one product! I’m obsessed with adding it as blush! And add so much color too my,combination,skinType,Combination,Skin Type,brown,eyeColor,Brown,Eye Color,FALSE,StaffContext,No,I am a Sephora employee,black,hairColor,Black,Hair color,tan,skinTone,Tan,Skin Tone,FALSE,IncentivizedReview,FALSE,I received this product as a free sample,P1272,,normal,https://photos-eu.bazaarvoice.com/photo/2/cGhvdG86c2VwaG9yYQ/ad758595-c803-5355-bd65-d6fc6b467e7f,thumbnail,https://photos-eu.bazaarvoice.com/photo/2/cGhvdG86c2VwaG9yYQ/83e8627a-64a1-561d-80ea-2fd77be7d6ea,17014539,thumbnail,normal,,2,5,,,0,eyeColor,hairColor,skinTone,skinType,IncentivizedReview,StaffContext,3,FALSE,2022-05-27T05:49:04.000+00:00,,7372079809,0.6,2022-05-11T04:09:15.000+00:00,sociallockup,avatar=https://community.sephora.com/t5/image/serverpage/avatar-name/default-avatar/avatar-theme/sephora/avatar-collection/sephora/avatar-display-size/profile/version/2?xdesc=1.0|biBadgeUrl=/html/rank_icons/birole_insider.svg|engagementBadgeUrl=/html/rank_icons/rank_rookie-01.svg|biTier=BI,sociallockup,My Go To Product,sociallockup,5,APPROVED,FALSE,,r18723api-_16522421QB5TLkiIB0,FALSE,TRUE,2022-05-11T04:45:13.000+00:00,208706768,en_US,,,,,VerifiedPurchaser,FALSE,VerifiedPurchaser,No,Verified Purchaser,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
