UserNickname,Rating,ReviewText,ContextDataValues/skinType/Value,ContextDataValues/skinType/Id,ContextDataValues/skinType/ValueLabel,ContextDataValues/skinType/DimensionLabel,ContextDataValues/eyeColor/Value,ContextDataValues/eyeColor/Id,ContextDataValues/eyeColor/ValueLabel,ContextDataValues/eyeColor/DimensionLabel,ContextDataValues/skinConcerns/Value,ContextDataValues/skinConcerns/Id,ContextDataValues/skinConcerns/ValueLabel,ContextDataValues/skinConcerns/DimensionLabel,ContextDataValues/StaffContext/Value,ContextDataValues/StaffContext/Id,ContextDataValues/StaffContext/ValueLabel,ContextDataValues/StaffContext/DimensionLabel,ContextDataValues/VerifiedPurchaser/Value,ContextDataValues/VerifiedPurchaser/Id,ContextDataValues/VerifiedPurchaser/ValueLabel,ContextDataValues/VerifiedPurchaser/DimensionLabel,ContextDataValues/hairColor/Value,ContextDataValues/hairColor/Id,ContextDataValues/hairColor/ValueLabel,ContextDataValues/hairColor/DimensionLabel,ContextDataValues/skinTone/Value,ContextDataValues/skinTone/Id,ContextDataValues/skinTone/ValueLabel,ContextDataValues/skinTone/DimensionLabel,ContextDataValues/IncentivizedReview/Value,ContextDataValues/IncentivizedReview/Id,ContextDataValues/IncentivizedReview/ValueLabel,ContextDataValues/IncentivizedReview/DimensionLabel,ProductId,UserEmailAddress,TotalNegativeFeedbackCount,RatingRange,CampaignId,UserLocation,TotalCommentCount,ContextDataValuesOrder/0,ContextDataValuesOrder/1,ContextDataValuesOrder/2,ContextDataValuesOrder/3,ContextDataValuesOrder/4,ContextDataValuesOrder/5,ContextDataValuesOrder/6,ContextDataValuesOrder/7,TotalPositiveFeedbackCount,IsRatingsOnly,LastModificationTime,Pros,BadgesOrder/0,AuthorId,Helpfulness,SubmissionTime,AdditionalFields/sociallockup/Label,AdditionalFields/sociallockup/Value,AdditionalFields/sociallockup/Id,Title,AdditionalFieldsOrder/0,TotalFeedbackCount,ModerationStatus,IsFeatured,Cons,Badges/VerifiedPurchaser/ContentType,Badges/VerifiedPurchaser/Id,Badges/VerifiedPurchaser/BadgeType,SubmissionId,IsSyndicated,IsRecommended,LastModeratedTime,Id,ContentLocale,Photos/0/Sizes/normal/Id,Photos/0/Sizes/normal/Url,Photos/0/Sizes/thumbnail/Id,Photos/0/Sizes/thumbnail/Url,Photos/0/Id,Photos/0/SizesOrder/0,Photos/0/SizesOrder/1,Photos/0/Caption,ContextDataValues/age/Value,ContextDataValues/age/Id,ContextDataValues/age/ValueLabel,ContextDataValues/age/DimensionLabel,ContextDataValuesOrder/8,Photos/1/Sizes/normal/Id,Photos/1/Sizes/normal/Url,Photos/1/Sizes/thumbnail/Id,Photos/1/Sizes/thumbnail/Url,Photos/1/Id,Photos/1/SizesOrder/0,Photos/1/SizesOrder/1,Photos/1/Caption,Badges/IncentivizedReviewBadge/ContentType,Badges/IncentivizedReviewBadge/Id,Badges/IncentivizedReviewBadge/BadgeType,ContextDataValues/beautyInsider/Value,ContextDataValues/beautyInsider/Id,ContextDataValues/beautyInsider/ValueLabel,ContextDataValues/beautyInsider/DimensionLabel,Badges/yesvibr/ContentType,Badges/yesvibr/Id,Badges/yesvibr/BadgeType,TagDimensionsOrder/0,TagDimensions/Pro/Label,TagDimensions/Pro/Values/0,TagDimensions/Pro/Id,Badges/yesvib/ContentType,Badges/yesvib/Id,Badges/yesvib/BadgeType,TagDimensions/Pro/Values/1,TagDimensions/Pro/Values/2,TagDimensions/Pro/Values/3,Badges/beautyInsider/ContentType,Badges/beautyInsider/Id,Badges/beautyInsider/BadgeType,TagDimensions/Pro/Values/4,BadgesOrder/1,TagDimensions/Pro/Values/5,TagDimensions/Pro/Values/6,Videos/0/VideoId,Videos/0/VideoHost,Videos/0/VideoThumbnailUrl,Videos/0/VideoIframeUrl,Videos/0/Caption,Videos/0/VideoUrl,Badges/top50Contributor/ContentType,Badges/top50Contributor/Id,Badges/top50Contributor/BadgeType,TagDimensions/Pro/Values/7,Badges/top1Contributor/ContentType,Badges/top1Contributor/Id,Badges/top1Contributor/BadgeType,ContextDataValues/hairCondition/Value,ContextDataValues/hairCondition/Id,ContextDataValues/hairCondition/ValueLabel,ContextDataValues/hairCondition/DimensionLabel,Badges/top25Contributor/ContentType,Badges/top25Contributor/Id,Badges/top25Contributor/BadgeType,Badges/top10Contributor/ContentType,Badges/top10Contributor/Id,Badges/top10Contributor/BadgeType
Surbhi08,1,"Not a cream concealer. Doesn’t have anything creamy in it. I bought it because I have dry skin and saw so many good reviews. Tried everything, blended with finger, with beauty blender, with brush, even sprayed setting spray to blender and on top of it before blending, but nothing worked. Cakes immediately WHILE APPLYING. I always keep my under eyes moisturized and even tried different eye creams to sit under it, but no luck. If you have under eyes like me (dry that needs to be moisturized with belif aqua bomb and skinfix 360 cream at night),skip this. The coverage is medium on my face.",dry,skinType,Dry,Skin Type,brown,eyeColor,Brown,Eye Color,darkCircles,skinConcerns,Dark circles,Skin concerns,FALSE,StaffContext,No,I am a Sephora employee,TRUE,VerifiedPurchaser,Yes,Verified Purchaser,black,hairColor,Black,Hair color,medium,skinTone,Medium,Skin Tone,FALSE,IncentivizedReview,FALSE,I received this product as a free sample,1951433,,0,5,,,0,eyeColor,hairColor,skinTone,skinType,skinConcerns,IncentivizedReview,StaffContext,VerifiedPurchaser,0,FALSE,2022-06-11T03:45:19.000+00:00,,VerifiedPurchaser,22145728848,,2022-06-11T00:31:24.000+00:00,sociallockup,avatar=https://community.sephora.com/t5/image/serverpage/avatar-name/default-avatar/avatar-theme/sephora/avatar-collection/sephora/avatar-display-size/profile/version/2?xdesc=1.0|biBadgeUrl=/html/rank_icons/birole_rouge.png|engagementBadgeUrl=/html/rank_icons/rank_rookie-01.png|biTier=rouge,sociallockup,Not for dry skin. Cakes immediately.,sociallockup,0,APPROVED,FALSE,,REVIEW,VerifiedPurchaser,Custom,r18723api-_16549074MXaNowJGTy,FALSE,FALSE,2022-06-11T03:45:19.000+00:00,210743384,en_US,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ram23,4,The coverage is phenomenal. I use this to hide the dark spots on my cheeks before applying foundation. I use Tarte’s shape tape concealer for under eye coverage though. Different concealers for different areas works for me.,combination,skinType,Combination,Skin Type,hazel,eyeColor,Hazel,Eye Color,acne,skinConcerns,Acne,Skin concerns,FALSE,StaffContext,No,I am a Sephora employee,,,,,brunette,hairColor,Brunette,Hair color,medium,skinTone,Medium,Skin Tone,FALSE,IncentivizedReview,FALSE,I received this product as a free sample,1951441,,0,5,,,0,eyeColor,hairColor,skinTone,skinType,skinConcerns,IncentivizedReview,StaffContext,,1,FALSE,2022-04-04T06:38:35.000+00:00,,,6062683667,1,2022-03-25T03:01:54.000+00:00,sociallockup,avatar=https://community.sephora.com/t5/image/serverpage/avatar-name/default-avatar/avatar-theme/sephora/avatar-collection/sephora/avatar-display-size/profile/version/2?xdesc=1.0|biBadgeUrl=/html/rank_icons/birole_rouge.png|engagementBadgeUrl=/html/rank_icons/rank_rookie-01.png|biTier=rouge,sociallockup,,sociallockup,1,APPROVED,FALSE,,,,,r18723api-_16481773jgSpVWviiw,FALSE,TRUE,2022-03-25T03:30:21.000+00:00,204766858,en_CA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tracey1515,1,"Worst concealer ever, super valet and the lady that helped me picked a shade way too light. With the bright lights in the store it looked like a match, but it is so light I can use it. Buy Mac or Too faced, skip this one",combination,skinType,Combination,Skin Type,brown,eyeColor,Brown,Eye Color,,,,,FALSE,StaffContext,No,I am a Sephora employee,TRUE,VerifiedPurchaser,Yes,Verified Purchaser,brunette,hairColor,Brunette,Hair color,light,skinTone,Light,Skin Tone,FALSE,IncentivizedReview,FALSE,I received this product as a free sample,1951425,,5,5,,,0,eyeColor,hairColor,skinTone,skinType,IncentivizedReview,StaffContext,VerifiedPurchaser,,0,FALSE,2022-06-09T23:55:35.000+00:00,,VerifiedPurchaser,10674349404,0,2022-03-22T12:38:56.000+00:00,sociallockup,avatar=https://community.sephora.com/t5/image/serverpage/avatar-name/default-avatar/avatar-theme/sephora/avatar-collection/sephora/avatar-display-size/profile/version/2?xdesc=1.0|biBadgeUrl=/html/rank_icons/birole_insider.svg|engagementBadgeUrl=/html/rank_icons/rank_rookie-01.svg|biTier=BI,sociallockup,,sociallockup,5,APPROVED,FALSE,,REVIEW,VerifiedPurchaser,Custom,r18723api-_16479527J6ABiYbCcL,FALSE,FALSE,2022-03-22T14:45:38.000+00:00,204587491,en_CA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JojoToews,3,"It’s okay, not the best product I’ve used concealer wise, makes my concealer brush very greasy by the time it’s about time to clean would not recommend for the ladies with oily t zone/ under eye areas",combination,skinType,Combination,Skin Type,hazel,eyeColor,Hazel,Eye Color,acne,skinConcerns,Acne,Skin concerns,FALSE,StaffContext,No,I am a Sephora employee,,,,,brunette,hairColor,Brunette,Hair color,light,skinTone,Light,Skin Tone,FALSE,IncentivizedReview,FALSE,I received this product as a free sample,P1273,,1,5,,,0,eyeColor,hairColor,skinTone,skinType,skinConcerns,IncentivizedReview,StaffContext,,1,FALSE,2022-05-22T06:49:15.000+00:00,,,8479405056,0.5,2022-03-04T17:37:12.000+00:00,sociallockup,avatar=https://community.sephora.com/t5/image/serverpage/image-id/1906349iB7E96F94B8A9DE06/image-dimensions/172x172?v=v2|biBadgeUrl=/html/rank_icons/birole_vib.png|engagementBadgeUrl=/html/rank_icons/rank_rookie-01.png|biTier=vib,sociallockup,,sociallockup,2,APPROVED,FALSE,,,,,r18723api-_16464154EkYYNh9jPD,FALSE,FALSE,2022-03-04T18:00:37.000+00:00,202617145,en_US,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sephora85Maven,5,"Love this concealer highly pigmented great for covering up imperfections like pimples, sun damage, any discoloration really. This isn’t an under eye concealer this is a perfecting concealer. I love to use it to carve out my eyebrows. I do my eye makeup before my base so this with a concealer brush allows me to get that perfected even base, all the way right close to the brows. Because lines of demarcation aren’t cute.",normal,skinType,Normal,Skin Type,hazel,eyeColor,Hazel,Eye Color,aging,skinConcerns,Aging,Skin concerns,FALSE,StaffContext,No,I am a Sephora employee,,,,,brunette,hairColor,Brunette,Hair color,fair,skinTone,Fair,Skin Tone,FALSE,IncentivizedReview,FALSE,I received this product as a free sample,1951425,,0,5,,,0,eyeColor,hairColor,skinTone,skinType,skinConcerns,IncentivizedReview,StaffContext,,1,FALSE,2022-02-26T17:31:30.000+00:00,,,6333972032,1,2022-01-05T02:55:18.000+00:00,sociallockup,avatar=https://community.sephora.com/t5/image/serverpage/image-id/1651096i21F2A7B5730D4402/image-dimensions/172x172?v=v2|biBadgeUrl=/html/rank_icons/birole_rouge.png|engagementBadgeUrl=/html/rank_icons/rank_rookie-02.png|biTier=rouge,sociallockup,,sociallockup,1,APPROVED,FALSE,,,,,r18723api-_164135130lp3rc69kk,FALSE,TRUE,2022-01-06T18:00:36.000+00:00,195277455,en_US,normal,https://photos-eu.bazaarvoice.com/photo/2/cGhvdG86c2VwaG9yYQ/90cd2a4a-b43e-514b-be4d-35e5808c682d,thumbnail,https://photos-eu.bazaarvoice.com/photo/2/cGhvdG86c2VwaG9yYQ/9389a84e-0479-5c10-b29c-175d3c82c87e,15245631,thumbnail,normal,DummyPhotoCaption,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Renz714,5,"Covers well, used to be erase paste. No. 1 has a slight pinkish that is great for dark circles. Shade No. works well when I have more color in the summer. Soft, lightweight. I often only brighten your with only moisturizer this and a good mascara. Quick and easy.",normal,skinType,Normal,Skin Type,hazel,eyeColor,Hazel,Eye Color,aging,skinConcerns,Aging,Skin concerns,FALSE,StaffContext,No,I am a Sephora employee,TRUE,VerifiedPurchaser,Yes,Verified Purchaser,brunette,hairColor,Brunette,Hair color,light,skinTone,Light,Skin Tone,FALSE,IncentivizedReview,FALSE,I received this product as a free sample,2086866,,0,5,,,0,eyeColor,hairColor,skinTone,skinType,skinConcerns,IncentivizedReview,StaffContext,VerifiedPurchaser,3,FALSE,2022-02-21T14:29:06.000+00:00,,VerifiedPurchaser,1730304533,1,2022-01-02T21:50:28.000+00:00,sociallockup,avatar=https://community.sephora.com/t5/image/serverpage/avatar-name/default-avatar/avatar-theme/sephora/avatar-collection/sephora/avatar-display-size/profile/version/2?xdesc=1.0|biBadgeUrl=/html/rank_icons/birole_insider.svg|engagementBadgeUrl=/html/rank_icons/rank_rookie-01.svg|biTier=VIB,sociallockup,,sociallockup,3,APPROVED,FALSE,,REVIEW,VerifiedPurchaser,Custom,r18723api-_16411602ihQ63dU2wK,FALSE,TRUE,2022-01-02T22:15:23.000+00:00,194564178,en_US,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Emchezz,5,This is the second best thing to Benefit’s previous hydrating concealer (bring that back!!). I have mature dry skin and this is the only concealer I can count on to look normal and not cakey. I just dab with my finger and pat in lightly.,normal,skinType,Normal,Skin Type,blue,eyeColor,Blue,Eye Color,dullness,skinConcerns,Dullness,Skin concerns,FALSE,StaffContext,No,I am a Sephora employee,,,,,brunette,hairColor,Brunette,Hair color,medium,skinTone,Medium,Skin Tone,FALSE,IncentivizedReview,FALSE,I received this product as a free sample,P1273,,2,5,,,0,eyeColor,hairColor,skinTone,skinType,skinConcerns,IncentivizedReview,StaffContext,,6,FALSE,2022-05-22T06:49:52.000+00:00,,,1329031746,0.75,2021-12-19T01:50:26.000+00:00,sociallockup,avatar=https://community.sephora.com/t5/image/serverpage/avatar-name/default-avatar/avatar-theme/sephora/avatar-collection/sephora/avatar-display-size/profile/version/2?xdesc=1.0|biBadgeUrl=/html/rank_icons/birole_vib.png|engagementBadgeUrl=/html/rank_icons/rank_rookie-01.png|biTier=vib,sociallockup,Great for dry skin,sociallockup,8,APPROVED,FALSE,,,,,r18723api-_16398786LR1W76VV9Z,FALSE,TRUE,2021-12-19T02:15:18.000+00:00,192667958,en_US,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jnorse,3,"Beware, this is not the Brightening Concealer that I've used for years. I'm not very impressed. It doesn't apply as smoothly as the Brightening Concealer which must have been discontinued. I've tried to find it without success.",combination,skinType,Combination,Skin Type,green,eyeColor,Green,Eye Color,darkCircles,skinConcerns,Dark circles,Skin concerns,FALSE,StaffContext,No,I am a Sephora employee,FALSE,VerifiedPurchaser,No,Verified Purchaser,blonde,hairColor,Blonde,Hair color,medium,skinTone,Medium,Skin Tone,FALSE,IncentivizedReview,FALSE,I received this product as a free sample,2086866,,6,5,,,0,eyeColor,hairColor,skinTone,skinType,skinConcerns,IncentivizedReview,StaffContext,VerifiedPurchaser,20,FALSE,2022-05-23T11:59:59.000+00:00,,,1384485555,0.769231,2021-07-20T18:50:15.000+00:00,sociallockup,avatar=https://sephora.i.lithium.com/t5/image/serverpage/avatar-name/default-avatar/avatar-theme/sephora/avatar-collection/sephora/avatar-display-size/profile/version/2?xdesc=1.0|biBadgeUrl=/html/rank_icons/birole_vib.svg|engagementBadgeUrl=/html/rank_icons/rank_rookie-01.svg|biTier=VIB,sociallockup,Bring Back the Brightening Concealer!,sociallockup,26,APPROVED,FALSE,,,,,r18723api-_16268070eQZeEBtTLa,FALSE,FALSE,2021-07-20T19:15:27.000+00:00,184002428,en_US,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
beetrot,5,"My daily go to. 
Seriously fifty characters? Okay.",combination,skinType,Combination,Skin Type,blue,eyeColor,Blue,Eye Color,acne,skinConcerns,Acne,Skin concerns,FALSE,StaffContext,No,I am a Sephora employee,FALSE,VerifiedPurchaser,No,Verified Purchaser,brunette,hairColor,Brunette,Hair color,light,skinTone,Light,Skin Tone,FALSE,IncentivizedReview,FALSE,I received this product as a free sample,1951425,,1,5,,,0,eyeColor,hairColor,skinTone,skinType,skinConcerns,IncentivizedReview,StaffContext,VerifiedPurchaser,10,FALSE,2021-12-29T01:59:24.000+00:00,,,1440631334,0.909091,2021-06-29T02:18:46.000+00:00,sociallockup,avatar=https://community.sephora.com/t5/image/serverpage/avatar-name/default-avatar/avatar-theme/sephora/avatar-collection/sephora/avatar-display-size/profile/version/2?xdesc=1.0|biBadgeUrl=/html/rank_icons/birole_insider.svg|engagementBadgeUrl=/html/rank_icons/rank_rookie-01.svg|biTier=BI,sociallockup,Works for me!,sociallockup,11,APPROVED,FALSE,,,,,r18723api-_16249331zpggwi0nmW,FALSE,TRUE,2021-06-29T02:45:14.000+00:00,182871424,en_CA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ExtraSpicy,4,"So this is a PSA for a similar product, Boi-ing Brightening Concealer no 4.  I picked the concealer up on Benefits site to get free shipping. 
The shade is much deeper and peachier than the swatch so just be aware that the Brightening concealer is not a one and done but should be layered with another product. Just wasn’t what I was looking for this summer. 
It’s also very emollient so it might work best paired with a matte concealer or it might melt off.",dry,skinType,Dry,Skin Type,brown,eyeColor,Brown,Eye Color,sunDamage,skinConcerns,Sun damage,Skin concerns,FALSE,StaffContext,No,I am a Sephora employee,,,,,brunette,hairColor,Brunette,Hair color,deep,skinTone,Deep,Skin Tone,FALSE,IncentivizedReview,FALSE,I received this product as a free sample,2086866,,1,5,,,0,eyeColor,hairColor,skinTone,skinType,skinConcerns,IncentivizedReview,StaffContext,,5,FALSE,2022-05-22T06:50:30.000+00:00,,,24798163487,0.833333,2021-06-25T13:57:53.000+00:00,,,,,,6,APPROVED,FALSE,,,,,r18723api-_16246294TGeRZwbyjn,FALSE,TRUE,2021-06-25T14:15:43.000+00:00,182706883,en_US,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
